# "Dinosaur Species","Body Length (m)","Body Mass (kg)"
"Staurikosaurus pricei",2.08,19
"Coelophysis bauri",2.68,15.3
"Coelophysis rhodesiensis",2.15,13
"Elaphrosaurus bambergi",6.2,210
"Liliensternus liliensterni",5.15,127
"Dilophosaurus wetherilli",6.03,283
"Ceratosaurus nasicoris",5.69,524
"Eustreptospondylus oxoniensis",4.63,218
"Metriacanthosaurus? sp.",3.8,130
"Allosaurus fragilis",7.4,1010
"Allosaurus atrox",7.9,1320
"Gorgosaurus (Paul's Albertosaurus ) libratus",5.8,700
"Gorgosaurus (Paul's Albertosaurus ) libratus",8.6,2500
"Daspletosaurus (Paul's Tyrannosaurus ) torosus",9,2300
"Tarbosaurus (Paul's Tyrannosaurus ) bataar",5.8,760
"Tarbosaurus (Paul's Tyrannosaurus ) bataar",7.7,2100
"Tyrannosaurus rex",10.6,5700
"Deinonychus (Paul's Velociraptor ) antirrhopus",3.06,45
"Deinonychus (Paul's Velociraptor ) antirrhopus",3.43,73
"Velociraptor mongoliensis",2.07,15
"Ornithomimus edmontonicus",3.3,110
"Ornithomimus brevitertius (=edmontonicus)",3.66,144
"Gallimimus (Paul's Ornithomimus ) bullatus",2.15,27
"Gallimimus (Paul's Ornithomimus ) bullatus",6,440
